요구사항ID,구분,대분류,중분류,요구사항명,요구사항 상세설명,관련 화면/파일,우선순위,담당,진행상태,비고
REQ-FE-015,기능,프론트엔드,KOBIS,날짜 선택 드롭다운,"수집된 30일 날짜 목록을 드롭다운으로 제공. 선택 시 테이블+차트가 해당 날짜 데이터로 갱신. 기본값은 최신 날짜.",front/src/hooks/useBoxOffice.ts,상,DA,완료,기존 date input에서 select로 변경
REQ-FE-016,기능,프론트엔드,KOBIS,당일 관객수 분포 차트,"선택된 날짜의 영화별 당일 관객수를 막대 차트로 표시. 정확한 숫자(명 단위) 표현.",front/src/components/charts/BoxOfficeTimeline.tsx,상,DA,완료,"기존 천명 단위→정확한 명 단위로 변경, 순위순 정렬"
REQ-FE-017,기능,프론트엔드,공통,다크모드 지원,"라이트/다크 테마 전환 기능. localStorage에 설정 저장.",front/src/components/Header.tsx,중,FE,완료,기존 프론트 구현 활용
REQ-FE-018,기능,프론트엔드,공통,분석 데이터 로드 훅,"analysis.json을 fetch하여 타입 안전하게 제공하는 React 커스텀 훅.",front/src/hooks/useAnalysis.ts,상,DA,완료,8개 분석 타입 인터페이스 정의
REQ-BE-001,기능,백엔드,API,박스오피스 벌크 등록 API,"POST /api/boxoffice/bulk 엔드포인트를 개설하여 박스오피스 JSON 배열을 일괄 등록한다.",백엔드,상,BE,미착수,DATA_SPEC.md 참조
REQ-BE-002,기능,백엔드,API,영화 벌크 등록 API,"POST /api/movies/bulk 엔드포인트를 개설하여 영화 JSON 배열을 일괄 등록한다. genres 배열은 movie_genre 테이블에 분리 저장.",백엔드,상,BE,미착수,DB_SCHEMA.md 참조
REQ-BE-003,기능,백엔드,API,유사영화 벌크 등록 API,"POST /api/similar-movies/bulk 엔드포인트를 개설하여 유사 영화 매핑을 일괄 등록한다.",백엔드,중,BE,미착수,DB_SCHEMA.md 참조
REQ-BE-004,기능,백엔드,DB,box_office 테이블 생성,"PK: auto-increment Long. UNIQUE(movie_cd·date). sales_amt·audi_acc는 BIGINT 타입.",백엔드,상,BE,미착수,DB_SCHEMA.md 참조
REQ-BE-005,기능,백엔드,DB,movie 테이블 생성,"PK: TMDB ID (Long). 신규 6개 필드(budget·overview·director·cast_top3·production_countries·original_title) 포함.",백엔드,상,BE,미착수,DB_SCHEMA.md 참조
REQ-BE-006,기능,백엔드,DB,movie_genre 테이블 생성,"movie_id FK + genre 문자열. UNIQUE(movie_id·genre). 장르별 집계 쿼리 지원.",백엔드,상,BE,미착수,DB_SCHEMA.md 참조
REQ-BE-007,기능,백엔드,DB,similar_movie 테이블 생성,"movie_id FK + similar_id. UNIQUE(movie_id·similar_id).",백엔드,중,BE,미착수,DB_SCHEMA.md 참조
REQ-BE-008,기능,백엔드,API,박스오피스 조회 API,"GET /api/boxoffice?date=YYYY-MM-DD — 해당 날짜 박스오피스 Top 10 반환. date 없으면 최신 날짜.",백엔드,상,BE,미착수,프론트 useBoxOffice 훅 연동
REQ-BE-009,기능,백엔드,API,영화 목록 조회 API,"GET /api/movies — 전체 영화 목록 반환. 장르 배열 포함.",백엔드,상,BE,미착수,프론트 useMovieData 훅 연동
REQ-PL-001,기능,파이프라인,자동화,백엔드 자동 전송,"수집·가공 완료된 데이터를 백엔드 Bulk API로 자동 POST 전송한다.",data/push_to_backend.py,상,DA,완료,백엔드 API 대기 중
REQ-PL-002,기능,파이프라인,자동화,매일 새벽 자동 수집,"Windows 작업 스케줄러를 통해 매일 새벽 수집 스크립트를 자동 실행한다.",data/run_pipeline.bat,중,DA,완료,배치 파일 작성 완료
REQ-PL-003,기능,파이프라인,모니터링,Slack 오류 알림,"데이터 전송 성공/실패 시 Slack Webhook으로 알림을 전송한다.",data/push_to_backend.py,중,DA,완료,
REQ-PL-004,기능,파이프라인,선택실행,부분 수집 옵션,"--skip-kobis / --skip-tmdb / --skip-details 옵션으로 필요한 부분만 선택적 수집 가능.",data/collect_all.py,중,DA,완료,
REQ-DOC-001,기능,문서,스펙,데이터 전달 스펙 문서,"DA→BE 데이터 전달 형식(JSON 스키마·필드 타입·Null 여부·예시값)을 명세한다.",docs/DATA_SPEC.md,상,DA,완료,백엔드 합의 완료
REQ-DOC-002,기능,문서,스키마,DB 스키마 제안서,"4개 테이블(box_office·movie·movie_genre·similar_movie)의 ERD·컬럼 정의·제약조건·JPA 엔티티 예시를 포함한다.",docs/DB_SCHEMA.md,상,DA,완료,백엔드 확인 요청 5건 포함
REQ-FT-001,기능,향후 기능,게임,포스터 제목 맞추기 게임,"포스터 이미지를 보여주고 영화 제목을 맞추는 게임 기능.",미정,하,FE,미착수,poster_path 데이터 확보 완료
REQ-FT-002,기능,향후 기능,게임,평점 순위 승패 게임,"두 영화의 평점을 비교하여 높은 쪽을 맞추는 게임 기능.",미정,하,FE,미착수,vote_average 데이터 확보 완료
REQ-FT-003,기능,향후 기능,추천,관련 콘텐츠 추천,"영화 상세 페이지에서 유사 영화를 추천 표시한다.",미정,중,FE/BE,미착수,similar_movies.json 수집 완료
REQ-FT-004,기능,향후 기능,분석,요일별 관람 패턴 시각화,"KOBIS 30일 데이터를 요일별로 집계하여 관람 패턴(주말 vs 평일)을 시각화한다.",미정,중,DA,미착수,KOBIS 30일 데이터 확보 완료
REQ-FT-005,기능,향후 기능,분석,개봉 후 관객 추이 분석,"개봉일 기준 경과일별 관객수 변화를 추적하여 흥행 수명 분석.",미정,중,DA,미착수,KOBIS openDt+date 데이터 활용 가능
REQ-FT-006,기능,향후 기능,게임,이상형 월드컵,"인지도 높은 64편 영화를 필터링하여 토너먼트 형식 이상형 월드컵 기능을 구현한다.",미정,하,FE,미착수,TMDB 데이터 기반 후보풀 생성 필요
REQ-NF-001,비기능,성능,API,TMDB Rate Limit 준수,"TMDB API 호출 시 40 req/10s 제한을 준수하여 429 에러를 방지한다.",data/collect_all.py,상,DA,완료,
REQ-NF-002,비기능,성능,캐시,프론트 데이터 캐시,"영화 데이터를 localStorage에 24시간 캐시하여 불필요한 재요청을 방지한다.",front/src/hooks/useMovieData.ts,중,FE,완료,기존 프론트 구현 활용
REQ-NF-003,비기능,데이터품질,인코딩,UTF-8 인코딩 보장,"Windows 환경(cp949)에서 한글 데이터가 깨지지 않도록 stdout/파일 모두 UTF-8 인코딩을 적용한다.",data/collect_all.py,상,DA,완료,sys.stdout.reconfigure(encoding='utf-8')
REQ-NF-004,비기능,데이터품질,중복,"KOBIS 데이터 중복 방지","(movieCd·date) 복합 유니크 제약으로 같은 영화의 같은 날짜 데이터 중복 적재를 방지한다.",DB_SCHEMA.md,상,BE,미착수,
REQ-NF-005,비기능,데이터품질,타입,대형 숫자 타입 안전성,"salesAmt(최대 64억)·audiAcc 등 int 범위 초과 가능 필드는 BIGINT/long 타입을 사용한다.",DB_SCHEMA.md,상,DA/BE,완료,DATA_SPEC에 명시
